,precision,recall,f1-score,support
comp,0.88,0.94,0.91,1955.00
rec,0.95,0.94,0.94,1590.00
sci,0.85,0.87,0.86,1977.00
talk,0.87,0.88,0.87,1301.00
other,0.87,0.66,0.75,709.00
accuracy,0.88,0.88,0.88,0.88
macro avg,0.88,0.86,0.87,7532.00
weighted avg,0.88,0.88,0.88,7532.00
