,precision,recall,f1-score,support
comp,0.85,0.94,0.89,1955.00
rec,0.95,0.91,0.93,1590.00
sci,0.84,0.85,0.85,1977.00
talk,0.88,0.85,0.86,1301.00
other,0.85,0.70,0.77,709.00
accuracy,0.87,0.87,0.87,0.87
macro avg,0.87,0.85,0.86,7532.00
weighted avg,0.87,0.87,0.87,7532.00
