,precision,recall,f1-score,support
comp,0.85,0.95,0.90,1955.00
rec,0.94,0.96,0.95,1590.00
sci,0.85,0.86,0.85,1977.00
talk,0.88,0.89,0.89,1301.00
other,0.90,0.52,0.66,709.00
accuracy,0.88,0.88,0.88,0.88
macro avg,0.88,0.84,0.85,7532.00
weighted avg,0.88,0.88,0.87,7532.00
